agent_id,employee_code,agent_name,vendor_id,team,status,joined_at,updated_at,_source_row_number
AGT0000760,EMP00323,Vikram Shah,VND0000012,T3,INACTIVE,2025-06-19 20:30:53,2025-12-11 03:40:22,1
AGT0000171,EMP00079,Pooja Nair,VND0000012,T1,INACTIVE,2025-08-26 11:06:26,2025-10-11 08:30:33,2
AGT0000766,EMP00030,Sneha Das,VND0000002,FIELD,SUSPENDED,2024-05-30 11:23:06,2026-05-16 03:02:02,3
AGT0000031,EMP00334,Aarav Sharma,VND0000007,T1,INACTIVE,2024-10-11 18:58:28,2025-10-16 13:31:21,4
AGT0000669,EMP00014,Aarav Sharma,VND0000001,T3,SUSPENDED,2024-09-01 19:55:06,2026-07-04 03:33:11,5
AGT0000968,EMP00060,Amit Kumar,VND0000012,T1,ACTIVE,2025-04-30 13:05:13,2025-02-11 19:01:45,6
AGT0000155,EMP00636,Amit Kumar,VND0000007,DIGITAL,SUSPENDED,2024-12-07 13:58:39,2026-07-28 06:16:07,7
AGT0000480,EMP00420,Aarav Sharma,VND0000005,FIELD,INACTIVE,2024-02-16 22:56:23,2025-02-01 18:17:09,8
AGT0000404,EMP00148,Rahul Verma,VND0000009,DIGITAL,INACTIVE,2024-04-02 12:16:02,2025-10-13 14:12:16,9
AGT0000077,EMP00415,Aarav Sharma,VND0000003,T2,ACTIVE,2025-07-29 21:47:05,2026-05-28 01:38:51,10
AGT0000515,EMP00365,Priya Mehta,VND0000004,T2,INACTIVE,2024-07-14 03:07:01,2026-03-29 15:32:00,11
AGT0000768,EMP00504,Amit Kumar,VND0000014,DIGITAL,INACTIVE,2024-03-17 17:27:37,2025-05-03 01:04:57,12
AGT0000880,EMP00616,Ananya Rao,VND0000008,FIELD,INACTIVE,2024-11-08 06:07:41,2025-05-19 16:52:45,13
AGT0000824,EMP00292,Neha Singh,VND0000008,T3,ACTIVE,2024-01-26 20:42:57,2025-06-05 02:47:52,14
AGT0000319,EMP00319,Sneha Das,VND0000014,T2,INACTIVE,2024-09-07 08:04:05,2026-01-07 11:18:50,15
AGT0000563,EMP00916,Vikram Shah,VND0000010,DIGITAL,ACTIVE,2025-06-25 01:27:30,2026-05-10 08:45:10,16
AGT0000325,EMP00585,Pooja Nair,VND0000010,T1,SUSPENDED,2025-02-01 18:50:22,2025-04-28 14:58:54,17
AGT0000469,EMP00662,Pooja Nair,VND0000012,DIGITAL,SUSPENDED,2024-12-18 20:27:43,2026-03-06 05:50:46,18
AGT0000260,EMP00707,Rahul Verma,VND0000004,T3,SUSPENDED,2025-06-10 16:45:00,2026-05-28 18:12:24,19
AGT0000180,EMP01013,Vikram Shah,VND0000010,T2,INACTIVE,2025-11-15 09:40:12,2025-12-04 13:50:16,20
AGT0000358,EMP00700,Vikram Shah,VND0000012,T3,INACTIVE,2024-02-25 05:52:12,2025-12-06 22:20:45,21
AGT0000991,EMP00351,Sneha Das,VND0000010,T1,SUSPENDED,2024-11-30 20:26:22,2026-04-29 22:16:25,22
AGT0000145,EMP00644,Priya Mehta,VND0000013,FIELD,SUSPENDED,2025-09-25 05:47:21,2026-04-02 10:49:06,23
AGT0000682,EMP00336,Vikram Shah,VND0000005,T2,SUSPENDED,2025-01-16 19:41:26,2026-02-27 08:00:07,24
AGT0000984,EMP01091,Aarav Sharma,VND0000002,DIGITAL,INACTIVE,2025-09-30 19:06:16,2025-03-12 14:06:00,25
AGT0000538,EMP01087,Neha Singh,VND0000001,FIELD,ACTIVE,2024-05-23 13:55:00,2025-07-03 04:22:08,26
AGT0000277,EMP00190,Aarav Sharma,VND0000001,T2,ACTIVE,2024-04-07 15:16:51,2025-11-13 17:20:51,27
AGT0000194,EMP00314,Neha Singh,VND0000005,DIGITAL,SUSPENDED,2024-09-05 07:42:21,2025-07-21 06:56:34,28
AGT0000123,EMP00735,Rohan Patel,VND0000003,T1,INACTIVE,2025-09-22 11:35:17,2025-07-14 09:18:01,29
AGT0000448,EMP00668,Pooja Nair,VND0000010,T3,INACTIVE,2025-08-15 06:39:47,2025-04-27 12:16:49,30
AGT0000674,EMP00919,Ananya Rao,VND0000005,T2,SUSPENDED,2025-09-23 08:03:53,2026-02-20 08:17:44,31
AGT0001000,EMP00596,Ananya Rao,VND0000001,T2,ACTIVE,2025-04-19 05:42:52,2025-01-25 18:08:59,32
AGT0000556,EMP00707,Amit Kumar,VND0000011,T2,SUSPENDED,2025-07-31 02:33:49,2025-03-25 11:03:56,33
AGT0000265,EMP00027,Pooja Nair,VND0000011,DIGITAL,INACTIVE,2024-04-28 18:36:48,2026-03-07 17:08:18,34
AGT0000488,EMP00779,Priya Mehta,VND0000008,DIGITAL,SUSPENDED,2024-09-07 13:13:52,2025-04-12 01:02:52,35
AGT0000242,EMP01074,Ananya Rao,VND0000013,DIGITAL,ACTIVE,2025-04-21 13:41:59,2025-10-09 04:19:14,36
AGT0000058,EMP00286,Pooja Nair,VND0000006,FIELD,ACTIVE,2025-08-11 15:44:50,2026-03-27 20:10:56,37
AGT0000454,EMP00974,Neha Singh,VND0000003,T1,SUSPENDED,2024-07-24 09:08:34,2026-01-17 12:27:50,38
AGT0000692,EMP00678,Priya Mehta,VND0000004,T3,INACTIVE,2025-05-31 23:27:56,2025-12-25 03:49:08,39
AGT0000968,EMP00585,Ananya Rao,VND0000001,FIELD,INACTIVE,2024-05-20 05:13:15,2026-07-29 22:06:46,40
AGT0000996,EMP00214,Vikram Shah,VND0000014,FIELD,INACTIVE,2024-10-08 01:40:52,2026-01-10 01:44:55,41
AGT0000462,EMP01003,Priya Mehta,VND0000005,FIELD,ACTIVE,2025-09-14 07:56:15,2025-06-11 07:31:47,42
AGT0000221,EMP00778,Vikram Shah,VND0000007,T2,SUSPENDED,2025-05-31 05:07:48,2025-03-31 11:01:50,43
AGT0000546,EMP00427,Pooja Nair,VND0000003,FIELD,INACTIVE,2025-02-14 18:06:05,2026-05-29 18:56:29,44
AGT0000397,EMP00806,Rahul Verma,VND0000007,DIGITAL,ACTIVE,2025-05-19 02:56:54,2025-10-16 14:20:08,45
AGT0000457,EMP00996,Priya Mehta,VND0000006,FIELD,SUSPENDED,2024-10-06 02:40:40,2026-07-14 19:32:20,46
AGT0000878,EMP00001,Ananya Rao,VND0000011,DIGITAL,ACTIVE,2024-07-15 01:50:08,2026-06-29 23:13:25,47
AGT0000276,EMP00478,Amit Kumar,VND0000012,T3,ACTIVE,2024-09-22 08:11:04,2026-02-09 03:14:44,48
AGT0000038,EMP00854,Amit Kumar,VND0000012,T1,INACTIVE,2024-02-03 20:39:44,2025-04-14 15:40:20,49
AGT0000838,EMP00415,Sneha Das,VND0000012,T2,INACTIVE,2024-09-08 18:28:18,2026-01-31 23:44:50,50
AGT0000139,EMP00999,Rohan Patel,VND0000002,T1,ACTIVE,2024-04-28 11:26:14,2026-01-18 02:12:52,51
AGT0000640,EMP00217,Ananya Rao,VND0000007,T3,INACTIVE,2025-09-13 21:14:58,2026-01-16 19:46:54,52
AGT0000723,EMP00948,Sneha Das,VND0000011,T1,SUSPENDED,2024-07-11 04:02:31,2025-09-10 03:12:47,53
AGT0000633,EMP00927,Neha Singh,VND0000010,T2,INACTIVE,2025-08-25 01:05:55,2025-05-21 11:28:25,54
AGT0000026,EMP00196,Ananya Rao,VND0000014,T3,SUSPENDED,2024-03-24 13:30:02,2025-06-13 03:16:33,55
AGT0000584,EMP00591,Pooja Nair,VND0000003,T1,SUSPENDED,2024-12-25 14:24:00,2026-06-25 10:35:56,56
AGT0000839,EMP00773,Amit Kumar,VND0000015,FIELD,INACTIVE,2024-12-25 13:46:21,2026-05-01 07:39:32,57
AGT0000505,EMP01058,Ananya Rao,VND0000001,DIGITAL,INACTIVE,2025-02-21 17:32:03,2025-07-28 11:59:15,58
AGT0000502,EMP00313,Rohan Patel,VND0000007,DIGITAL,INACTIVE,2025-10-03 09:24:08,2025-09-03 17:38:32,59
AGT0000220,EMP00673,Rohan Patel,VND0000014,T3,INACTIVE,2024-07-05 05:44:03,2026-07-19 20:34:15,60
AGT0000520,EMP00046,Amit Kumar,VND0000011,T2,ACTIVE,2025-10-29 00:26:05,2025-06-17 04:22:01,61
AGT0000926,EMP01005,Rohan Patel,VND0000014,FIELD,SUSPENDED,2025-09-09 11:16:30,2025-05-04 11:07:39,62
